Trip Number,Date,Quadrant,Observer,Start Time,End Time,Adult Newts,Larvae,Egg Masses,Notes
14,12/30/2025,2,Michael,10:35 AM,10:41 AM,2,0,0,also lots of leaves on the bottom of the pool this trip
14,12/30/2025,3,Erin,10:25 AM,10:33 AM,2,0,0,also lots of leaves on the bottom of the pool this trip
14,12/30/2025,4,Erin,10:35 AM,10:43 AM,7,0,0,also lots of leaves on the bottom of the pool this trip
15,1/27/2026,1,Connor,9:48 AM,9:57 AM,9,0,14,
15,1/27/2026,2,Connor,10:00 AM,10:05 AM,15,0,25,
15,1/27/2026,3,Erin,9:48 AM,9:56 AM,13,0,70,"def undercounting the eggs a bit- there was a potted plant with eggs all around the rim, but i could only see/count the eggs on the side facing me"
15,1/27/2026,4,Erin,10:00 AM,10:05 AM,22,0,9,
16,2/20/2026,1,Connor,10:02 AM,10:08 AM,13,0,40,
16,2/20/2026,2,Megan,10:02 AM,10:08 AM,8,0,91,
16,2/20/2026,3,Erin,9:48 AM,9:55 AM,18,0,127,"def undercounting the eggs a bit- there was a potted plant with eggs all around the rim, but i could only see/count the eggs on the side facing me"
16,2/20/2026,4,Erin,10:02 AM,10:08 AM,7,1,31,
